Year,Total Words Analyzed,Total Characters Analyzed,Average Word Size,Unique Words,Numerical Terms,Ambivalence,Self-reference,Tenacity,Leveling Terms,Collectives,Praise,Satisfaction,Inspiration,Blame,Hardship,Aggression,Accomplishment,Communication,Cognition,Passivity,Spatial Terms,Familiarity,Temporal Terms,Present Concern,Human Interest,Concreteness,Past Concern,Centrality,Rapport,Cooperation,Diversity,Exclusion,Liberation,Denial,Motion,Insistence,Embellishment,Variety,Complexity,Activity,Optimism,Certainty,Realism,Commonality,File,Word Characters Analyzed
1961,1364,7561,4.4,690,11.37,20.04,7.39,0.75,134.87,13.81,3.43,3.98,10.12,3.62,11.93,8.84,4.31,10.12,18.77,2.75,0.25,6.1,6.93,14.51,0.5,20.43,10.03,10.76,9.4,1.69,4.89,20.45,2,4.37,41.1,12.93,0.68,0.5,4.34,49.73,47.64,50.47,54.35,52.23,44_1961_JK.txt.dfxml,5996
1957,1655,9124,4.34,830,6.03,20.18,6.09,3.61,142.31,7.35,5.79,4.88,8.46,6.23,15.08,14.43,4.61,7.98,16.13,2.74,1.86,13.68,10.08,9.34,0.62,14.18,14.39,10.98,3.69,0.75,0.62,22.27,0.62,1.88,47.57,10.4,0.44,0.54,4.27,51.27,51.8,49.9,54.65,50.06,43_1957_DE.txt.dfxml,7182
1953,2454,13938,4.54,1227,4.02,12.64,6.82,2.04,145.29,5.76,4.51,5.86,10.33,8.08,14.24,20.15,4.39,8.18,13.28,3.48,0.8,13.65,5.16,8.45,2.43,6.24,13.19,7.07,3.42,0.31,0.61,22.27,2.46,3.34,40.84,18.6,0.68,0.5,4.55,50.51,52.6,51.33,51.15,48.25,42_1953_DE.txt.dfxml,11143
1949,2273,13665,4.88,1105,4.54,20.53,9.43,1.79,136.45,6.87,6.47,6.11,5.24,11.66,12.64,17.89,5,1.56,6.54,3.04,1.29,22.35,8.73,11.28,1.42,12.74,15.57,4.44,6.77,0.62,2.71,25.34,0.62,1.85,45.64,73.02,0.52,0.49,4.82,49.19,54.77,53.36,51.52,48.24,41_1949_HT.txt.dfxml,11088
1945,558,3009,4.23,281,1.5,15.93,7.46,1,151.02,3,1.75,9.31,3,0.5,18.43,14.52,2,5,11.98,1,2.5,16.25,1,10.62,0,13.31,18.19,7.48,1,1,4,25.24,0,1,69.1,3.86,0.51,0.59,4.02,49.92,54.2,50.38,57.07,49.83,40_1945_FR.txt.dfxml,2358
1941,1341,7528,4.45,636,2.89,17.98,8.18,2.47,159.06,8.15,4.2,5.54,2.95,6.18,9.2,10.85,2.47,6.43,13.59,5.67,3.23,8.95,0.5,9.88,0.5,16.36,6.98,15.39,6.29,1.73,0.25,25.11,0.25,0.75,35.51,47.21,0.61,0.48,4.42,47.66,50.89,50.03,52.1,47.21,39_1941_FR.txt.dfxml,5965
1937,1808,10586,4.74,948,7.66,10.15,10.62,1.12,134.87,5.87,8.93,10.48,3.87,3.48,12.68,13.63,1.75,3,15.12,4.25,1.94,19.46,2.25,13.17,0.94,14.68,16.3,5.91,8.55,2.68,7.06,25.18,1.33,2.31,40.73,52.09,0.69,0.55,4.71,49.04,53.51,50.87,51.24,51.37,38_1937_FR.txt.dfxml,8562
1933,1880,10889,4.68,973,5.99,15.7,8.04,1.69,149.95,6.38,8.48,7.31,3.79,0.31,8.73,16.67,3.22,6.76,11.57,2.03,4.13,16.96,6.26,9.68,3.22,12.81,12.46,10.17,3.53,1,12.46,27.64,1.66,2.28,26.56,13.1,0.61,0.51,4.6,49.95,52.51,48.69,49.97,51.95,37_1933_FR.txt.dfxml,8807
1929,3754,22957,5.02,1815,6.35,17.2,8.08,2.34,148.47,5.87,7.15,8.02,2.5,2.91,5.46,21.85,5.38,9.4,15.65,1.7,1.38,16.92,4.97,16.74,0.91,5.17,5.02,9.24,8.15,1.43,9.3,27.08,0.63,1.85,36.58,24.44,1.65,0.52,4.9,46.26,54.5,49.7,48.63,50.93,36_1929_HH.txt.dfxml,18839
1925,4056,23948,4.8,2011,2.19,12.61,13.68,5.4,133.99,1.15,8.97,9.44,2.31,2.26,10.85,13.85,7.38,20.36,9.85,0.47,1.29,11.26,2.06,13.78,0.18,2.73,8.01,20.47,4.89,0.43,1.32,27.42,1.4,1.04,35.64,4.54,1.19,0.6,4.64,45.15,51.78,47.46,47.51,49.58,35_1925_CC.txt.dfxml,19485
1921,3328,20292,4.97,1812,6.23,15.33,8.2,1.06,127.09,6.36,8.56,8.09,7.15,2.85,4.63,14.79,7.37,9.68,13.09,2.82,2.86,15.36,3.38,11.45,1.67,7.31,8.47,12.05,6.09,1.67,9,29.27,2.22,3.04,22.38,17.57,0.93,0.56,4.84,49.39,52.79,46.94,46.27,51.79,34_1921_WH.txt.dfxml,16538
1917,1529,8388,4.39,721,1.46,14.68,12.25,2,157.83,1,2.88,13.24,2.31,10.37,14,27.31,17.87,3.88,4.76,0.75,1,11.5,1.25,12.17,1.25,4.56,5.11,9.18,4.86,1,4.12,34.33,0.83,2.62,33,10.52,11.11,0.61,4.14,25.37,63.99,50.06,50.09,46.15,33_1917_WW.txt.dfxml,6719
1913,1699,9563,4.52,854,4.49,5.82,13.79,0.62,119.39,5.77,3.19,8.17,5.39,3.38,10.53,10.68,3.26,10.65,11.54,1,2.88,17.09,3.64,7.63,0.5,11.79,8.17,14.26,3.55,0.75,6.72,33.97,1.83,1.25,47.03,10.53,0.9,0.55,4.38,48.13,50.57,48.7,48.31,49.86,32_1913_WW.txt.dfxml,7672
1909,5428,32149,4.84,2629,6.36,5.6,8.89,2.74,158.93,4.67,4.85,8.31,5.8,1.21,7.73,8.19,4.04,5.3,20.24,1.78,3.13,16.53,2.12,10.03,1.98,6.75,11.19,10.56,4.75,0.17,9.51,32.35,0.84,1.96,11.12,18.33,0.79,0.49,4.86,49.11,52.46,50.09,47.5,49.45,31_1909_WT.txt.dfxml,26287
1905,987,5592,4.56,463,3.04,12.15,6.57,1.01,139.29,9.69,4.05,11.72,2,3.76,9.65,15.92,5.05,10.61,5.61,2.27,3.05,13.53,3.01,9.52,2.01,9.63,6.33,14.84,3.94,1.03,0.5,34.89,2.53,1.51,46.59,15.13,1.45,0.47,4.57,47.02,52.16,51.5,48.38,48.98,30_1905_TR.txt.dfxml,4505
1901,2217,13407,4.94,1168,4.19,13.64,3.71,8.26,143.18,6.36,7.71,9.11,11.72,9.48,6.77,10.53,5.71,11.56,21.81,4.43,6.42,12.82,2.5,11.08,0.88,14.32,8.05,4.92,6.86,0.62,1.81,37.35,1.72,1.94,25.02,32.95,0.8,0.53,4.85,50.15,51.37,51.24,47.91,45.29,29_1901_WM.txt.dfxml,10952
1897,3965,23640,4.86,2001,3.64,10.16,8.75,4.73,144.05,3.69,7.45,8.73,4.99,2.3,12.68,8.26,5.82,8.16,15.37,3.4,2.05,15.53,5.75,12.03,2.18,11.81,8.49,12.18,8.73,0.14,10.96,29.49,1.54,2.35,16.53,17.22,1.05,0.51,4.82,46.4,52.36,50.15,47.67,49.92,28_1897_WM.txt.dfxml,19270
1893,2015,12351,5.06,1075,2.18,2.74,19.67,0.75,83.29,2.25,2.75,20.82,4,1.38,5.25,6.54,2.31,18.6,6.81,0,1.19,7.33,2.44,3.04,0.75,20.17,19.98,22.32,5.37,17.04,6.31,18,0.69,1.62,67.62,3.34,1.26,0.76,4.54,51.56,52.35,37.87,50.22,50.2,27_1893_GC.txt.dfxml,10199
1889,4393,26223,4.88,2210,3.56,10.72,6.65,1.09,134.2,4.52,3.09,10.75,4.64,2.34,13.1,20.65,4.1,7.26,18.99,1.64,2.25,9.3,8.47,7.74,1.21,5.86,8.23,13.26,8.67,2.07,1.83,34.22,4.22,2.96,31.34,18.86,1.39,0.51,4.79,46.3,53.68,51.2,47.62,51.72,26_1889_BH.txt.dfxml,21457
1885,1682,10142,4.94,859,5.5,10.78,6.12,2.87,148.31,2.38,5.81,7.71,2.75,1,15.74,12.51,5.87,3,17.24,0.25,0.62,12.78,2.06,10.64,0.75,6.87,7.08,7.41,9.91,0.12,1.35,18.34,1.38,1.5,36.1,6.72,1.13,0.56,4.9,45.94,54.67,50.09,48.94,50.17,25_1885_GC.txt.dfxml,8308
1881,2973,17749,4.88,1487,4.16,10.3,5.98,1.47,154.01,4.68,7.13,8.71,7.35,2.5,11.06,10.4,4.99,7.95,25.04,1.06,2.49,10.2,2.98,17.36,1.37,10.79,8.27,9.32,6.06,1.22,6.69,25.93,1.12,1.78,17.03,22.16,1.07,0.49,4.96,48.42,52.56,52.06,48.65,50.7,24_1881_JG.txt.dfxml,14508
1877,2482,14917,4.91,1230,6.47,15.37,10.64,2.41,165.39,2.54,9.94,10.91,5.37,4.09,10.27,8.14,4.26,4.72,13.62,2.95,1.77,11.08,4.55,11.8,4.3,10.6,5.52,8.2,10.74,0,6.1,23.55,0.89,4.39,13.83,22.93,1.79,0.5,4.89,43.97,53.88,50.33,48.47,50.71,23_1877_RH.txt.dfxml,12185
1873,1127,6494,4.66,595,11.55,12.9,8.01,4.22,159.58,1.25,3.25,8.72,4.22,2.97,11.91,5.28,9.41,3.25,19.87,3.47,1.5,10.94,3.97,16.44,0.75,8.47,9.86,13.6,9.03,0.5,14.62,27.67,0.5,1.25,15.66,8.65,0.79,0.58,4.64,48.14,55.31,48.04,50.12,48.33,22_1873_UG.txt.dfxml,5252
1869,1127,6494,4.66,595,11.55,12.9,8.01,4.22,159.58,1.25,3.25,8.72,4.22,2.97,11.91,5.28,9.41,3.25,19.87,3.47,1.5,10.94,3.97,16.44,0.75,8.47,9.86,13.6,9.03,0.5,14.62,27.67,0.5,1.25,15.66,8.65,0.79,0.58,4.64,48.14,55.31,48.04,50.12,48.33,21_1869_UG.txt.dfxml,5252
1865,699,3929,4.51,385,6.51,8.75,6.51,1.5,144.11,9.51,3.76,9.36,11.77,0,17.05,6.27,5.27,6.76,15.32,8.78,4.01,9.88,2.26,5,1.5,17.29,12.02,13.34,8.01,1.26,1,32.59,1.26,2.5,22.08,7.07,0.7,0.57,4.41,49.89,51.17,48.82,50.05,50.72,20_1865_AL.txt.dfxml,3150
1861,3632,20988,4.67,1763,3.21,5.61,3.97,3.56,122.17,10.07,1.95,5.71,11.67,1.21,15.89,6.84,6.26,22.64,25.03,0.7,3.51,4.72,3.5,11.71,3.83,11.22,11.98,12.63,6.03,1.21,10.37,40.55,2.77,3.82,34.4,8.53,0.61,0.59,4.64,49.98,45.64,50.46,48.67,48.48,19_1861_AL.txt.dfxml,16955
1857,2820,16806,4.86,1429,2.96,15.75,5.2,3.16,154.47,2.41,7.31,16.28,3.06,3.88,10.58,14,6.16,8.16,14.99,1.03,1.5,11.16,4.77,10.18,1.22,10,5.46,11.14,4.54,1.41,2.88,29.61,0.84,4.38,28,40.51,2.42,0.53,4.79,45.27,56.52,50.74,49.28,51.32,18_1857_JB.txt.dfxml,13712
1853,3331,20064,4.93,1791,7.8,10.43,7.16,3.19,133.53,3.81,4.35,8.5,2.99,1.19,9.83,15.4,8.8,12.23,11.45,0.57,2.15,10.83,4.38,10.39,1.79,6.59,8.45,13.28,9.96,0.33,11.6,33.04,3.61,1.34,26.38,14.39,1.14,0.55,4.83,46.12,52.77,48.59,46.41,49.44,17_1853_FP.txt.dfxml,16417
1849,1088,6602,4.98,587,5.52,11.4,5.96,2,135.32,3.59,8.81,10.69,2.38,4.09,4.5,14.8,10.18,4.59,13.39,0.25,0.75,13.18,2.5,13.47,6.93,9.31,7.75,6.41,15.48,0,8.25,21.17,0,4.09,27.14,3.17,1.42,0.62,5.08,43.42,57.55,45.78,46.88,48.48,16_1849_ZT.txt.dfxml,5416
